"","x"
"1",0.000357886334356576
"2",0.00035780317788297
"3",0.000357787874532592
"4",0.00035778238123503
"5",0.000357736115762657
"6",0.000357608588690049
"7",0.000357371698650192
"8",0.000392805960920191
"9",0.000389353108272177
"10",0.000365431622840196
"11",0.000368853649617818
"12",0.000372136010720022
"13",0.000375207650325621
"14",0.000378015817892764
"15",0.000380530004271549
"16",0.000382744300405313
"17",0.000384677901698937
"18",0.000386373742433492
"19",0.000387895501976413
"20",0.000389323422465852
"21",0.000390749480507372
"22",0.00039227245586424
"23",0.000393993356576659
"24",0.000396011526124369
"25",0.000398421610396621
"26",0.000401311429224294
"27",0.000404760695888571
"28",0.000408840463374827
"29",0.000413613144630776
"30",0.000419132947624891
"31",0.000429915835704339
"32",0.000440527047680318
"33",0.000477803166131105
"34",0.000467154020281143
"35",0.000474488820813159
"36",0.000482689175233253
"37",0.000491800633668284
"38",0.000501861644316482
"39",0.000512904987667084
"40",0.000524959002136545
"41",0.000538048480648731
"42",0.00057081818726597
"43",0.000595597217602252
"44",0.00058780288242493
"45",0.000602775345823805
"46",0.000618867525688215
"47",0.000636106700766023
"48",0.000654518018500358
"49",0.000682445731882813
"50",0.000715383357334776
